service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
62_1077_611,0,0,0,1,0,0,0,20260915,20261022
62_1077_657,0,0,0,0,1,0,0,20260915,20261022
62_967_603,0,0,0,0,0,1,0,20260915,20261022
62_967_604,0,0,0,0,0,0,1,20260915,20261022
62_1077_612_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_656_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_612_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_611_EXC,0,0,0,0,0,0,0,20260915,20261022
62_1077_656_EXC,0,0,0,0,0,0,0,20260915,20261022
62_1077_611_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_605_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_604_EXC,0,0,0,0,0,0,0,20260915,20261022
62_967_657_EXC,0,0,0,0,0,0,0,20260915,20261022
63_968_601,1,1,1,0,1,0,0,20260915,20261022
63_968_606,0,0,0,1,0,0,0,20260915,20261022
63_968_601_EXC,0,0,0,0,0,0,0,20260915,20261022
63_968_606_EXC,0,0,0,0,0,0,0,20260915,20261022
64_1076_606,1,1,1,1,0,0,0,20260915,20261022
64_1076_607,0,0,0,0,1,0,0,20260915,20261022
64_1076_603,0,0,0,0,0,1,0,20260915,20261022
64_1076_604,0,0,0,0,0,0,1,20260915,20261022
64_1076_605_EXC,0,0,0,0,0,0,0,20260915,20261022
64_1076_604_EXC,0,0,0,0,0,0,0,20260915,20261022
64_1076_607_EXC,0,0,0,0,0,0,0,20260915,20261022
67_995_611,1,1,1,1,0,0,0,20260915,20261022
67_995_612,0,0,0,0,1,0,0,20260915,20261022
67_995_603,0,0,0,0,0,1,0,20260915,20261022
67_995_604,0,0,0,0,0,0,1,20260915,20261022
67_995_605_EXC,0,0,0,0,0,0,0,20260915,20261022
67_995_612_EXC,0,0,0,0,0,0,0,20260915,20261022
67_995_604_EXC,0,0,0,0,0,0,0,20260915,20261022
70_1058_601,1,1,1,1,0,0,0,20260915,20261022
70_1058_562,0,0,0,0,1,0,0,20260915,20261022
70_1058_608,0,0,0,0,0,1,0,20260915,20261022
70_1058_604,0,0,0,0,0,0,1,20260915,20261022
70_1058_603_EXC,0,0,0,0,0,0,0,20260915,20261022
70_1058_602_EXC,0,0,0,0,0,0,0,20260915,20261022
70_1058_561_EXC,0,0,0,0,0,0,0,20260915,20261022
70_1058_609_EXC,0,0,0,0,0,0,0,20260915,20261022
70_1058_610_EXC,0,0,0,0,0,0,0,20260915,20261022
71_1059_616,1,1,1,1,1,0,0,20260915,20261022
71_1059_603,0,0,0,0,0,1,0,20260915,20261022
71_1059_604,0,0,0,0,0,0,1,20260915,20261022
71_1059_604_EXC,0,0,0,0,0,0,0,20260915,20261022
72_970_601,1,1,1,1,0,0,0,20260915,20261022
72_970_602,0,0,0,0,1,0,0,20260915,20261022
72_970_603,0,0,0,0,0,1,0,20260915,20261022
72_970_609,0,0,0,0,0,0,1,20260915,20261022
72_970_609_EXC,0,0,0,0,0,0,0,20260915,20261022
72_970_610_EXC,0,0,0,0,0,0,0,20260915,20261022
72_970_602_EXC,0,0,0,0,0,0,0,20260915,20261022
73_962_601,1,1,1,1,0,0,0,20260915,20261022
73_962_602,0,0,0,0,1,0,0,20260915,20261022
73_963_603,0,0,0,0,0,1,0,20260915,20261022
73_963_604,0,0,0,0,0,0,1,20260915,20261022
73_962_602_EXC,0,0,0,0,0,0,0,20260915,20261022
73_963_605_EXC,0,0,0,0,0,0,0,20260915,20261022
73_963_601_EXC,0,0,0,0,0,0,0,20260915,20261022
73_963_602_EXC,0,0,0,0,0,0,0,20260915,20261022
73_963_604_EXC,0,0,0,0,0,0,0,20260915,20261022
79_996_601,1,1,1,1,1,0,0,20260915,20261022
79_996_603,0,0,0,0,0,1,0,20260915,20261022
79_996_604,0,0,0,0,0,0,1,20260915,20261022
79_996_604_EXC,0,0,0,0,0,0,0,20260915,20261022
80_651_601,1,1,1,1,1,0,0,20260915,20261022
80_651_603,0,0,0,0,0,1,0,20260915,20261022
80_651_604,0,0,0,0,0,0,1,20260915,20261022
80_651_604_EXC,0,0,0,0,0,0,0,20260915,20261022
81_1041_601,1,1,1,1,0,0,0,20260915,20261022
81_1041_602,0,0,0,0,1,0,0,20260915,20261022
81_1041_603,0,0,0,0,0,1,0,20260915,20261022
81_1041_604,0,0,0,0,0,0,1,20260915,20261022
81_1041_602_EXC,0,0,0,0,0,0,0,20260915,20261022
81_1041_604_EXC,0,0,0,0,0,0,0,20260915,20261022
81_1041_605_EXC,0,0,0,0,0,0,0,20260915,20261022
89_1074_601,1,1,1,1,0,0,0,20260915,20261022
89_1074_607,0,0,0,0,1,0,0,20260915,20261022
89_1074_603,0,0,0,0,0,1,0,20260915,20261022
89_1074_604,0,0,0,0,0,0,1,20260915,20261022
89_1074_604_EXC,0,0,0,0,0,0,0,20260915,20261022
89_1074_602_EXC,0,0,0,0,0,0,0,20260915,20261022
89_1074_605_EXC,0,0,0,0,0,0,0,20260915,20261022
89_1074_606_EXC,0,0,0,0,0,0,0,20260915,20261022
90_1075_601,1,1,1,1,0,0,0,20260915,20261022
90_1075_602,0,0,0,0,1,0,0,20260915,20261022
90_1075_603,0,0,0,0,0,1,0,20260915,20261022
90_1075_609,0,0,0,0,0,0,1,20260915,20261022
90_1075_602_EXC,0,0,0,0,0,0,0,20260915,20261022
90_1075_609_EXC,0,0,0,0,0,0,0,20260915,20261022
90_1075_610_EXC,0,0,0,0,0,0,0,20260915,20261022
92_1046_601,1,1,1,1,1,0,0,20260915,20261022
92_1046_603,0,0,0,0,0,1,0,20260915,20261022
92_1046_604,0,0,0,0,0,0,1,20260915,20261022
92_1046_604_EXC,0,0,0,0,0,0,0,20260915,20261022
93_994_561,1,1,1,1,0,0,0,20260915,20261022
93_994_562,0,0,0,0,1,0,0,20260915,20261022
93_994_603,0,0,0,0,0,1,0,20260915,20261022
93_994_604,0,0,0,0,0,0,1,20260915,20261022
93_994_653_EXC,0,0,0,0,0,0,0,20260915,20261022
93_994_604_EXC,0,0,0,0,0,0,0,20260915,20261022
93_994_605_EXC,0,0,0,0,0,0,0,20260915,20261022
93_994_562_EXC,0,0,0,0,0,0,0,20260915,20261022
94_873_601,1,1,1,1,1,0,0,20260915,20261022
94_873_603,0,0,0,0,0,1,0,20260915,20261022
94_873_604,0,0,0,0,0,0,1,20260915,20261022
94_873_604_EXC,0,0,0,0,0,0,0,20260915,20261022
95_1047_601,1,1,1,1,1,0,0,20260915,20261022
95_1047_603,0,0,0,0,0,1,0,20260915,20261022
95_1047_604,0,0,0,0,0,0,1,20260915,20261022
95_1047_604_EXC,0,0,0,0,0,0,0,20260915,20261022
